"","UW_Date","exposure_id","tenure","pet_gender","pet_de_sexed","pet_de_sexed_age","pet_is_switcher","nb_policy_first_inception_date","pet_age_months","nb_contribution","nb_excess","nb_address_type_adj","nb_suburb","nb_postcode","nb_state","person_dob","nb_contribution_excess","owner_age_years","nb_number_of_breeds","nb_average_breed_size","nb_breed_type","nb_breed_trait","nb_breed_name_unique","nb_breed_name_unique_concat","is_multi_pet_plan","lead_date_day","quote_date","quote_time_group","exposure_id_1","earned_units","Total_Earned","claim_nb","Total_claim_amount","Total_claim_paid","claim_freq","sa2_code","qi","density","severity","frequency","pet_is_male","nb_address_type_adj_numerical","nb_state_num","nb_breed_type_num","nb_breed_trait_num","is_multi_pet_plan_num","quote_time_group_num","size_encoding","owner_x_pet_age","age_breed_interaction","age_breed_interaction_bins","person_age","person_age_group","pet_age_year","nb_breed_trait_num_encoded"
"13",2024-02-01,"exposure_255c9ecf-fd74-4a50-83c4-58cbe79ba7b5",3,"male","false","","",2023-11-23,17,80,0,"House","Dalgety","2628","NSW",1992-07-09,800,31,1,3,"purebred","shepherd type","german shepherd","german shepherd","true",1970-01-01,2023-10-31,"Morning (05:00 - 11:59)","exposure_255c9ecf-fd74-4a50-83c4-58cbe79ba7b5",0,1,0,0,0,0,"101031016","Good",2.1,NA,0,1,2,2,3,12,2,4,1,3,10,11,32,2,1.41666666666667,16
"14",2024-02-01,"exposure_4855bde0-b1d1-4b4d-bd78-92ed89d9daf2",3,"male","false","","",2023-11-13,12,100,100,"House","Pitt Town","2756","NSW",1993-01-22,100100,30,1,3,"purebred","brachycephalic","british bulldog","british bulldog","false",1970-01-01,2023-11-14,"Afternoon (12:00 - 17:59)","exposure_4855bde0-b1d1-4b4d-bd78-92ed89d9daf2",0.03125,0.4375,0,0,0,0,"115021297","Acceptable",60.3,NA,0,1,2,2,3,2,1,1,1,2,10,8,31,2,1,10
"15",2024-02-01,"exposure_6460e386-7951-4ed3-8ed3-ccd205a2b4d5",3,"male","true","4-6 mo","",2023-11-15,49,90,100,"House","Bluewater","4818","QLD",1976-11-04,90100,47,1,1,"purebred","brachycephalic","pug","pug","false",1970-01-01,2023-11-16,"Morning (05:00 - 11:59)","exposure_6460e386-7951-4ed3-8ed3-ccd205a2b4d5",0,0.483870967741935,0,0,0,0,"318021470","Poor",95.9,NA,0,1,2,4,3,2,1,4,1,10,10,10,47,3,4.08333333333333,10
"16",2024-02-01,"exposure_ca65f8f4-023d-433f-a337-7fbc9620bb0f",2,"female","true","2+ yr","",2023-11-30,30,90,100,"House","Woodville","5011","SA",1958-03-28,90100,65,1,2,"purebred","teckel","dachshundstandard smooth haired","dachshundstandard smooth haired","false",1970-01-01,2023-11-27,"Afternoon (12:00 - 17:59)","exposure_ca65f8f4-023d-433f-a337-7fbc9620bb0f",0.03125,0.03125,0,0,0,0,"404011090","Poor",2245.3,NA,0,0,2,5,3,16,1,1,1,10,10,12,66,4,2.5,11
"17",2024-02-01,"exposure_05f009c0-e489-4634-9cd0-d85e0922a9a8",2,"female","false","","",2023-12-20,29,80,100,"House","Mount Annan","2567","NSW",1965-07-01,80100,58,1,1,"purebred","water dog","poodletoy","poodletoy","false",1970-01-01,2023-12-21,"Afternoon (12:00 - 17:59)","exposure_05f009c0-e489-4634-9cd0-d85e0922a9a8",0,1,0,0,0,0,"123011434","Poor",NA,NA,0,0,2,2,3,20,1,1,1,10,10,6,59,3,2.41666666666667,8
"18",2024-02-01,"exposure_0e573635-94e2-4806-a5ea-6cc4e89b84db",3,"male","false","","",2023-11-26,2,80,100,"House","Burnside","4560","QLD",1996-12-13,80100,26,1,2,"purebred","brachycephalic","staffordshire bull terrier","staffordshire bull terrier","false",1970-01-01,2023-11-27,"Evening (18:00 - 23:59)","exposure_0e573635-94e2-4806-a5ea-6cc4e89b84db",0,1,0,0,0,0,"316031426","Good",375.9,NA,0,1,2,4,3,2,1,2,1,1,4,1,27,2,0.166666666666667,10
"19",2024-02-01,"exposure_bfd711de-22be-4f8a-9491-baceb44ec624",3,"female","false","","",2023-11-28,6,90,100,"House","Woodvale","6026","WA",2002-11-27,90100,21,1,1,"purebred","terrier","border terrier","border terrier","false",1970-01-01,2023-11-29,"Morning (05:00 - 11:59)","exposure_bfd711de-22be-4f8a-9491-baceb44ec624",0,1,0,0,0,0,"505011077","Poor",952.7,NA,0,0,2,8,3,17,1,4,1,1,6,2,21,2,0.5,3
"20",2024-02-01,"exposure_eaeed333-8aaf-4c16-8331-a8eece32082e",3,"female","false","","",2023-11-23,3,100,100,"House","Pimpama","4209","QLD",1989-04-20,100100,34,1,1,"purebred","teckel","dachshundminiature smooth haired","dachshundminiature smooth haired","false",1970-01-01,2023-11-24,"Morning (05:00 - 11:59)","exposure_eaeed333-8aaf-4c16-8331-a8eece32082e",0,0.793103448275862,0,0,0,0,"309071251","Poor",934.5,NA,0,0,2,4,3,16,1,4,1,1,3,1,35,2,0.25,11
"21",2024-02-01,"exposure_17ba8440-8add-4f09-8fe8-08752a47d10e",1,"female","false","","",2024-01-17,2,80,100,"House","Withers","6230","WA",2001-12-11,80100,22,1,2,"purebred","brachycephalic","french bulldog","french bulldog","true",1970-01-01,2024-01-18,"Evening (18:00 - 23:59)","exposure_17ba8440-8add-4f09-8fe8-08752a47d10e",0,0.451612903225806,0,0,0,0,"501021006","Poor",NA,NA,0,0,2,8,3,2,2,2,1,1,4,1,22,2,0.166666666666667,10
"22",2024-02-01,"exposure_dd3a0a23-ac10-4c9b-9055-becd92c32e17",1,"female","true","4-6 mo","",2024-01-13,52,80,100,"House","Wakerley","4154","QLD",1968-04-28,80100,55,1,1,"designerbreed","water dog","cavoodle","cavoodle","true",1970-01-01,2023-12-29,"Afternoon (12:00 - 17:59)","exposure_dd3a0a23-ac10-4c9b-9055-becd92c32e17",0,0.580645161290323,0,0,0,0,"301011002","Poor",236.5,NA,0,0,2,4,2,20,2,1,1,10,10,11,56,3,4.33333333333333,8
"23",2024-02-01,"exposure_41f71cd0-979e-4333-80f9-b9ab25e47639",1,"male","true","2+ yr","",2024-01-17,86,80,100,"House","Withers","6230","WA",2001-12-11,80100,22,1,3,"purebred","brachycephalic","american staffordshire terrier","american staffordshire terrier","true",1970-01-01,2024-01-18,"Evening (18:00 - 23:59)","exposure_41f71cd0-979e-4333-80f9-b9ab25e47639",0,0.451612903225806,0,0,0,0,"501021006","Poor",NA,NA,0,1,2,8,3,2,2,2,1,10,10,41,22,2,7.16666666666667,10
"24",2024-02-01,"exposure_a521eb3e-9c3d-4501-a33a-3b9718205a39",5,"male","true","4-6 mo","",2023-09-24,8,80,0,"House","Alberton","4207","QLD",1968-11-12,800,54,1,1,"designerbreed","water dog","cavoodle","cavoodle","false",1970-01-01,2023-09-25,"Morning (05:00 - 11:59)","exposure_a521eb3e-9c3d-4501-a33a-3b9718205a39",0,1,0,0,0,0,"309071254","Poor",33.8,NA,0,1,2,4,2,20,1,4,1,3,8,2,55,3,0.666666666666667,8
"25",2024-02-01,"exposure_1f43f954-5cfe-4679-8b58-8615da4857ef",0,"female","true","4-6 mo","",2024-01-31,28,90,0,"House","Greenwich","2065","NSW",1969-08-15,900,54,1,1,"purebred","white fluffy","havanese","havanese","false",1970-01-01,2024-01-18,"Morning (05:00 - 11:59)","exposure_1f43f954-5cfe-4679-8b58-8615da4857ef",4.16333634234434e-17,4.16333634234434e-17,0,0,0,0,"121011400","Poor",NA,NA,0,0,2,2,3,21,1,4,1,9,10,6,55,3,2.33333333333333,1
"26",2024-02-01,"exposure_bfbc0db8-02f2-47c7-ae03-907b9a24179c",3,"male","true","0-3 mo","",2023-11-01,25,80,0,"House","Dundas Valley","2117","NSW",1981-08-10,800,42,1,3,"purebred","brachycephalic","american staffordshire terrier","american staffordshire terrier","false",1970-01-01,2023-11-02,"Morning (05:00 - 11:59)","exposure_bfbc0db8-02f2-47c7-ae03-907b9a24179c",0,0.5,0,0,0,0,"125021476","Acceptable",NA,NA,0,1,2,2,3,2,1,4,1,6,10,15,43,3,2.08333333333333,10
"27",2024-02-01,"exposure_775e74e2-63bd-4d32-9fc0-4aabfdbb20f1",4,"male","false","","",2023-10-14,2,90,0,"House","Maitland","2320","NSW",1973-10-07,900,50,1,1,"designerbreed","water dog","cavoodle","cavoodle","true",1970-01-01,2023-10-12,"Morning (05:00 - 11:59)","exposure_775e74e2-63bd-4d32-9fc0-4aabfdbb20f1",0,1,0,0,0,0,"106011107","Acceptable",36.6,NA,0,1,2,2,2,20,2,4,1,1,2,1,51,3,0.166666666666667,8
"28",2024-02-01,"exposure_80eff026-860f-4401-a839-d135c192a41c",4,"male","false","","",2023-10-19,5,100,100,"House","Red Hill","2603","ACT",1970-12-20,100100,52,1,1,"designerbreed","water dog","cavoodle","cavoodle","false",1970-01-01,2023-10-20,"Evening (18:00 - 23:59)","exposure_80eff026-860f-4401-a839-d135c192a41c",0,1,0,0,0,0,"801061063","Poor",1186.7,NA,0,1,2,1,2,20,1,2,1,2,5,1,53,3,0.416666666666667,8
"29",2024-02-01,"exposure_e0b2575f-fcab-49d5-8ac8-21854f525cfc",1,"male","true","4-6 mo","",2024-01-13,42,80,100,"House","Wakerley","4154","QLD",1968-04-28,80100,55,1,1,"purebred","water dog","poodleminiature","poodleminiature","true",1970-01-01,2023-12-29,"Afternoon (12:00 - 17:59)","exposure_e0b2575f-fcab-49d5-8ac8-21854f525cfc",0,0.580645161290323,0,0,0,0,"301011002","Poor",236.5,NA,0,1,2,4,3,20,2,1,1,10,10,9,56,3,3.5,8
"30",2024-02-01,"exposure_da0f22ca-cd06-4add-ba03-68f5f63bc6ee",3,"female","true","Not Sure","",2023-11-02,37,80,100,"Apartment","Balgowlah","2093","NSW",1986-11-07,80100,37,1,3,"purebred","sighthound","greyhound","greyhound","false",1970-01-01,2023-11-03,"Afternoon (12:00 - 17:59)","exposure_da0f22ca-cd06-4add-ba03-68f5f63bc6ee",0,0.0833333333333334,0,0,0,0,"122011418","Poor",2737.4,NA,0,0,1,2,3,13,1,1,1,8,10,23,37,2,3.08333333333333,7
"31",2024-02-01,"exposure_cbf7093e-c77b-4f37-b639-a223da9f0b38",4,"female","false","","",2023-09-30,3,100,100,"House","Tyalgum","2484","NSW",1980-11-30,100100,42,1,3,"purebred","retriever","labrador retriever","labrador retriever","false",1970-01-01,2023-10-01,"Morning (05:00 - 11:59)","exposure_cbf7093e-c77b-4f37-b639-a223da9f0b38",1.38777878078145e-17,1,0,0,0,0,"112031251","Poor",390.5,NA,0,0,2,2,3,10,1,4,1,1,9,2,43,3,0.25,9
"32",2024-02-01,"exposure_3e2ee142-94a6-4f09-bc4d-620abdccf41d",2,"female","true","4-6 mo","",2023-12-02,14,90,0,"Apartment","Lidcombe","2141","NSW",1996-04-09,900,27,1,1,"purebred","sighthound","italian greyhound","italian greyhound","false",1970-01-01,2023-11-12,"Evening (18:00 - 23:59)","exposure_3e2ee142-94a6-4f09-bc4d-620abdccf41d",0,0.0714285714285715,0,0,0,0,"125011473","Good",NA,NA,0,0,1,2,3,13,1,2,1,3,10,3,28,2,1.16666666666667,7
"33",2024-02-01,"exposure_6b18eb91-8657-4b60-b9eb-a4cf5cc41d63",2,"female","false","","",2023-12-15,2,80,100,"House","Watson","2602","ACT",1960-03-28,80100,63,1,3,"purebred","retriever","labrador retriever","labrador retriever","true",1970-01-01,2023-12-14,"Evening (18:00 - 23:59)","exposure_6b18eb91-8657-4b60-b9eb-a4cf5cc41d63",0,1,0,0,0,0,"801051050","Poor",1508.8,NA,0,0,2,1,3,10,2,2,1,1,6,2,64,4,0.166666666666667,9
"34",2024-02-01,"exposure_2306a9c1-d93a-44df-870c-5d008e9ce52a",1,"female","false","","",2024-01-25,4,80,100,"House","Hadfield","3046","VIC",1993-07-09,80100,30,1,1,"cross","","cockapoo","cockapoo","false",1970-01-01,2024-01-26,"Late Night (00:00 - 04:59)","exposure_2306a9c1-d93a-44df-870c-5d008e9ce52a",0,0.193548387096774,0,0,0,0,"210031238","Poor",NA,NA,0,0,2,7,1,1,1,3,1,1,4,1,31,2,0.333333333333333,13
"35",2024-03-01,"exposure_f197409d-5a6a-43b7-b740-4d1f4c670d2a",2,"male","false","","",2024-01-01,13,100,100,"House","Frankston South","3199","VIC",1972-01-04,100100,52,1,1,"purebred","teckel","dachshundminiature smooth haired","dachshundminiature smooth haired","true",1970-01-01,2024-01-02,"Afternoon (12:00 - 17:59)","exposure_f197409d-5a6a-43b7-b740-4d1f4c670d2a",0,1.0565988353072,0,0,0,0,"214011371","Poor",2078.7,NA,0,1,2,7,3,16,2,1,1,4,10,3,52,3,1.08333333333333,11
"36",2024-03-01,"exposure_3a4d5d4c-2acf-4152-a2b7-bc947ddfa2c6",1,"male","false","","",2024-02-08,75,80,100,"House","Point Cook","3030","VIC",1973-01-10,80100,51,1,1,"purebred","spitz related","japanese spitz","japanese spitz","false",1970-01-01,2024-02-08,"Evening (18:00 - 23:59)","exposure_3a4d5d4c-2acf-4152-a2b7-bc947ddfa2c6",0,0.613026819923372,0,0,0,0,"213011330","Poor",NA,NA,0,1,2,7,3,15,1,2,1,10,10,15,51,3,6.25,15
"37",2024-03-01,"exposure_175d7974-b478-4654-bb0a-bb21353ea8c5",2,"male","false","","",2024-01-14,5,100,100,"House","Girrawheen","6064","WA",1996-11-18,100100,27,1,3,"purebred","shepherd type","german shepherd","german shepherd","false",1970-01-01,2024-01-15,"Evening (18:00 - 23:59)","exposure_175d7974-b478-4654-bb0a-bb21353ea8c5",0,1.54838709677419,0,0,0,0,"504031056","Good",817.2,NA,0,1,2,8,3,12,1,2,1,1,10,3,27,2,0.416666666666667,16
"38",2024-03-01,"exposure_3a93fd5e-ea6b-4554-937d-6b2ff83d489c",1,"female","false","","",2024-02-16,2,80,0,"House","North Curl Curl","2099","NSW",1983-02-07,800,41,1,3,"purebred","hound","weimaraner","weimaraner","false",1970-01-01,2024-02-17,"Morning (05:00 - 11:59)","exposure_3a93fd5e-ea6b-4554-937d-6b2ff83d489c",0,0.448275862068966,0,0,0,0,"122031424","Poor",3362.9,NA,0,0,2,2,3,6,1,4,1,1,6,2,41,3,0.166666666666667,12
"39",2024-03-01,"exposure_454648ae-db3c-45d6-a1ff-2f7dc542dc51",4,"male","false","","",2023-11-28,3,90,0,"Apartment","Bacchus Marsh","3340","VIC",1947-10-15,900,76,1,1,"purebred","teckel","dachshundminiature smooth haired","dachshundminiature smooth haired","false",1970-01-01,2023-11-04,"Morning (05:00 - 11:59)","exposure_454648ae-db3c-45d6-a1ff-2f7dc542dc51",0,2,0,0,0,0,"201021009","Acceptable",6.4,NA,0,1,1,7,3,16,1,4,1,2,3,1,77,4,0.25,11
"40",2024-03-01,"exposure_bd045c55-651f-4b7f-987c-1a6127c07a6d",1,"female","false","","",2024-02-20,17,100,100,"House","Smithfield Plains","5114","SA",1994-02-16,100100,30,2,1,"cross","cross","cross","cavalier king charles spaniel, dachshundminiature smooth haired","true",1970-01-01,2024-02-19,"Afternoon (12:00 - 17:59)","exposure_bd045c55-651f-4b7f-987c-1a6127c07a6d",0,0.310344827586207,0,0,0,0,"401021003","Acceptable",19.6,NA,0,0,2,5,1,5,2,1,1,3,10,4,30,2,1.41666666666667,5
"41",2024-03-01,"exposure_2eac4037-0e40-4232-be8b-c73614247fca",1,"female","false","","",2024-02-13,19,80,100,"House","Elanora","4221","QLD",1953-09-08,80100,70,1,3,"designerbreed","water dog","labradoodle","labradoodle","false",1970-01-01,2024-02-09,"Evening (18:00 - 23:59)","exposure_2eac4037-0e40-4232-be8b-c73614247fca",1.38777878078145e-17,1.38777878078145e-17,0,0,0,0,"309021233","Poor",1460.1,NA,0,0,2,4,2,20,1,2,1,8,10,12,71,4,1.58333333333333,8
"42",2024-03-01,"exposure_5796f2bb-3181-4776-96f2-d3ced8a92e14",5,"male","false","","",2023-10-30,34,80,0,"Apartment","Noosaville","4566","QLD",1954-02-05,800,69,1,3,"purebred","water dog","poodlestandard","poodlestandard","false",1970-01-01,2023-10-31,"Afternoon (12:00 - 17:59)","exposure_5796f2bb-3181-4776-96f2-d3ced8a92e14",1.38777878078145e-17,2,0,0,0,0,"316041433","Poor",NA,NA,0,1,1,4,3,20,1,1,1,10,10,21,70,4,2.83333333333333,8
"43",2024-03-01,"exposure_cd7825d8-c00b-4517-81e2-cba64b3907f5",5,"female","false","","",2023-10-25,8,80,100,"House","Darling Downs","6122","WA",1956-01-17,80100,67,1,2,"purebred","brachycephalic","french bulldog","french bulldog","false",1970-01-01,2023-10-09,"Afternoon (12:00 - 17:59)","exposure_cd7825d8-c00b-4517-81e2-cba64b3907f5",0,2,0,0,0,0,"506061142","Acceptable",820,NA,0,0,2,8,3,2,1,1,1,3,10,4,68,4,0.666666666666667,10
"44",2024-03-01,"exposure_05f920d5-708f-4efa-b2ed-22523befc352",3,"male","false","","",2023-12-19,6,80,100,"House","Warragul","3820","VIC",1996-10-05,80100,27,1,3,"purebred","retriever","golden retriever","golden retriever","false",1970-01-01,2023-12-20,"Afternoon (12:00 - 17:59)","exposure_05f920d5-708f-4efa-b2ed-22523befc352",0,1.66143451571705,0,0,0,0,"205011079","Good",69.3,NA,0,1,2,7,3,10,1,1,1,1,10,4,28,2,0.5,9
"45",2024-03-01,"exposure_13d43b34-a4b6-415f-ad9b-6f631d2579c6",1,"female","true","4-6 mo","",2024-02-25,35,80,100,"Apartment","Melbourne","3004","VIC",1993-09-09,80100,30,2,1.5,"cross","cross","cross","jack russell terrier cross, staffordshire bull terrier","true",1970-01-01,2024-02-26,"Afternoon (12:00 - 17:59)","exposure_13d43b34-a4b6-415f-ad9b-6f631d2579c6",4.16333634234434e-17,4.16333634234434e-17,0,0,0,0,"206041119","Good",1758.7,NA,0,0,1,7,1,5,2,1,0,6,10,11,31,2,2.91666666666667,5
"46",2024-03-01,"exposure_015a99a7-11ac-4719-b6ef-7446db50ea55",2,"male","false","","",2024-01-01,21,100,100,"House","Cranbourne","3977","VIC",1997-06-10,100100,26,1,1,"cross","","moodle","moodle","false",1970-01-01,2024-01-01,"Afternoon (12:00 - 17:59)","exposure_015a99a7-11ac-4719-b6ef-7446db50ea55",0,1.24777530589544,0,0,0,0,"212031300","Poor",1691.4,NA,0,1,2,7,1,1,1,1,1,4,10,5,27,2,1.75,13
"47",2024-03-01,"exposure_1940c1a4-7e93-4933-93d2-87ccaca47248",2,"male","false","","",2024-01-08,59,80,0,"House","Hastings","3915","VIC",1991-10-10,800,32,1,2,"purebred","collie related","border collie","border collie","true",1970-01-01,2024-01-08,"Evening (18:00 - 23:59)","exposure_1940c1a4-7e93-4933-93d2-87ccaca47248",0,1.52413793103448,0,0,0,0,"214021378","Poor",20.9,NA,0,1,2,7,3,4,2,2,1,10,10,24,33,2,4.91666666666667,6
"48",2024-03-01,"exposure_f117d3b1-3425-4b6a-b625-a5d677885560",2,"male","false","","",2024-01-30,2,80,100,"House","Redlynch","4870","QLD",1987-03-25,80100,36,1,1,"purebred","white fluffy","maltese","maltese","false",1970-01-01,2024-01-31,"Afternoon (12:00 - 17:59)","exposure_f117d3b1-3425-4b6a-b625-a5d677885560",0,1.03448275862069,1,199.145454545455,0,0.966666666666667,"306011138","Poor",1112.4,5.29403548509128,0.966666666666667,1,2,4,3,21,1,1,1,1,2,1,37,2,0.166666666666667,1
"49",2024-03-01,"exposure_261bee5e-8089-4bd2-b64b-cc4c451eab81",1,"male","true","4-6 mo","",2024-02-18,42,80,0,"House","Berwick","3806","VIC",1990-08-08,800,33,1,1,"designerbreed","water dog","cavoodle","cavoodle","false",1970-01-01,2024-02-19,"Afternoon (12:00 - 17:59)","exposure_261bee5e-8089-4bd2-b64b-cc4c451eab81",0,0.379310344827586,0,0,0,0,"212021293","Poor",1193.2,NA,0,1,2,7,2,20,1,1,1,8,10,9,34,2,3.5,8
"50",2024-03-01,"exposure_fd835d81-87a7-4a93-bfff-6d7b9652d7ee",3,"female","false","","",2023-12-20,12,80,100,"House","Ashmore","4214","QLD",1994-03-02,80100,29,1,2,"purebred","teckel","dachshundstandard smooth haired","dachshundstandard smooth haired","true",1970-01-01,2023-12-11,"Evening (18:00 - 23:59)","exposure_fd835d81-87a7-4a93-bfff-6d7b9652d7ee",0,2,0,0,0,0,"309031235","Poor",1201.7,NA,0,0,2,4,3,16,2,2,1,2,10,5,30,2,1,11
"51",2024-03-01,"exposure_ab30e710-bd52-40f5-a90c-1226982f77f1",1,"male","false","","",2024-02-18,15,80,100,"House","Alkimos","6038","WA",1979-12-07,80100,44,1,3,"purebred","retriever","golden retriever","golden retriever","false",1970-01-01,2024-02-19,"Morning (05:00 - 11:59)","exposure_ab30e710-bd52-40f5-a90c-1226982f77f1",0,2.77555756156289e-17,0,0,0,0,"505031109","Good",NA,NA,0,1,2,8,3,10,1,4,1,4,10,9,44,3,1.25,9
